,precision,recall,f1-score,support
0,0.758220502901354,0.9095127610208816,0.8270042194092826,431.0
1,0.9501385041551247,0.7958236658932715,0.8661616161616161,431.0
2,0.8221153846153846,0.7935034802784223,0.807556080283353,431.0
3,0.9521410579345088,0.877030162412993,0.9130434782608696,431.0
4,0.9622641509433962,0.9444444444444444,0.9532710280373832,432.0
5,0.9276485788113695,0.8329466357308585,0.8777506112469439,431.0
6,0.7769423558897243,0.7175925925925926,0.7460890493381467,432.0
7,0.6767317939609236,0.8819444444444444,0.7658291457286432,432.0
8,0.7289473684210527,0.642691415313225,0.6831072749691738,431.0
9,0.7100213219616205,0.7726218097447796,0.7400000000000001,431.0
accuracy,0.8168328309761187,0.8168328309761187,0.8168328309761187,0.8168328309761187
macro avg,0.8265171019594458,0.8168111411875912,0.8179812503435413,4313.0
weighted avg,0.8265023528277315,0.8168328309761187,0.8179838576869388,4313.0
