,precision,recall,f1-score,support
0,0.8329718004338394,0.8909512761020881,0.8609865470852018,431.0
1,0.910377358490566,0.8955916473317865,0.9029239766081871,431.0
2,0.875,0.8283062645011601,0.8510131108462455,431.0
3,0.8960176991150443,0.9396751740139211,0.9173272933182333,431.0
4,0.9527027027027027,0.9791666666666666,0.9657534246575342,432.0
5,0.9166666666666666,0.8422273781902552,0.8778718258766626,431.0
6,0.7325842696629213,0.7546296296296297,0.7434435575826681,432.0
7,0.8354114713216958,0.7754629629629629,0.8043217286914766,432.0
8,0.6580645161290323,0.7099767981438515,0.6830357142857143,431.0
9,0.7769784172661871,0.7517401392111369,0.7641509433962265,431.0
accuracy,0.8367725481103641,0.8367725481103641,0.8367725481103641,0.8367725481103641
macro avg,0.8386774901788655,0.836772793675346,0.8370828122348151,4313.0
weighted avg,0.8386785720182235,0.8367725481103641,0.837083338614186,4313.0
